dist_bin_m,mean_rssi,var_rssi,std_rssi,n,dist_bin_center_m
833.0,-21.0,0.0,0.0,1,833.5
838.0,-14.0,0.0,0.0,1,838.5
841.0,-33.0,0.0,0.0,1,841.5
846.0,-26.0,0.0,0.0,1,846.5
847.0,-15.0,0.0,0.0,1,847.5
850.0,-35.0,0.0,0.0,1,850.5
856.0,-14.0,0.0,0.0,1,856.5
858.0,-26.25,22.25,4.716990566028302,4,858.5
864.0,-16.0,0.0,0.0,1,864.5
866.0,-37.0,0.0,0.0,1,866.5
875.0,-31.0,0.0,0.0,1,875.5
880.0,-23.0,0.0,0.0,1,880.5
884.0,-34.0,0.0,0.0,1,884.5
885.0,-16.0,0.0,0.0,1,885.5
901.0,-21.0,0.0,0.0,1,901.5
904.0,-31.0,0.0,0.0,1,904.5
912.0,-16.0,0.0,0.0,1,912.5
915.0,-30.0,0.0,0.0,1,915.5
927.0,-33.0,0.0,0.0,1,927.5
929.0,-16.0,0.0,0.0,1,929.5
941.0,-21.0,0.0,0.0,1,941.5
947.0,-15.0,0.0,0.0,1,947.5
954.0,-30.0,0.0,0.0,1,954.5
961.0,-36.0,0.0,0.0,1,961.5
970.0,-34.0,0.0,0.0,1,970.5
981.0,-30.0,0.0,0.0,1,981.5
986.0,-14.0,0.0,0.0,1,986.5
988.0,-34.0,0.0,0.0,1,988.5
999.0,-32.0,0.0,0.0,1,999.5
1006.0,-12.0,0.0,0.0,1,1006.5
1008.0,-39.0,0.0,0.0,1,1008.5
1018.0,-61.5,2520.5,50.204581464244875,2,1018.5
1026.0,-13.0,0.0,0.0,1,1026.5
1029.0,-29.0,0.0,0.0,1,1029.5
1049.0,-29.0,0.0,0.0,1,1049.5
1057.0,-64.5,2112.5,45.96194077712559,2,1057.5
1065.0,-11.0,0.0,0.0,1,1065.5
1078.0,-62.0,1800.0,42.42640687119285,2,1078.5
1080.0,-63.0,2312.0,48.08326112068523,2,1080.5
1090.0,-63.0,1682.0,41.012193308819754,2,1090.5
1091.0,-54.0,3698.0,60.81118318204309,2,1091.5
1099.0,-58.0,1800.0,42.42640687119285,2,1099.5
1109.0,-55.0,2352.6666666666665,48.5042953424402,4,1109.5
1110.0,-62.5,1740.5,41.71930009000631,2,1110.5
1120.0,-49.0,1058.0,32.526911934581186,2,1120.5
1121.0,-55.5,3784.5,61.518289963229634,2,1121.5
1133.0,-49.5,2812.5,53.033008588991066,2,1133.5
1140.0,-50.5,1200.5,34.64823227814083,2,1140.5
1145.0,-54.5,760.5,27.577164466275352,2,1145.5
1146.0,-49.0,2888.0,53.74011537017761,2,1146.5
1157.0,-45.0,2048.0,45.254833995939045,2,1157.5
1159.0,-56.75,908.25,30.137186331839274,4,1159.5
1166.0,-43.5,1740.5,41.71930009000631,2,1166.5
1169.0,-49.5,684.5,26.16295090390226,2,1169.5
1173.0,-42.5,1984.5,44.54772721475249,2,1173.5
1176.0,-52.25,566.25,23.79600806858159,4,1176.5
1178.0,-42.5,1984.5,44.54772721475249,2,1178.5
1181.0,-52.5,264.5,16.263455967290593,2,1181.5
1182.0,-41.5,1624.5,40.30508652763321,2,1182.5
1184.0,-48.5,364.5,19.091883092036785,2,1184.5
1185.0,-39.0,1458.0,38.18376618407357,2,1185.5
1186.0,-46.0,814.0,28.53068523537421,4,1186.5
1187.0,-37.5,924.5,30.405591591021544,2,1187.5
1188.0,-48.0,338.0,18.384776310850235,2,1188.5
1189.0,-42.75,789.5833333333334,28.09952550014561,4,1189.5
1190.0,-49.0,236.66666666666666,15.383974345619102,4,1190.5
1191.0,-48.875,196.41071428571428,14.014660691066133,8,1191.5
1192.0,-48.5,265.6666666666667,16.299284237863535,4,1192.5
1193.0,-49.0,550.0,23.45207879911715,4,1193.5
1195.0,-52.25,942.9166666666666,30.70694818223828,4,1195.5
1198.0,-60.0,1250.0,35.35533905932738,2,1198.5
1202.0,-50.0,2048.0,45.254833995939045,2,1202.5
1203.0,-60.5,1300.5,36.062445840513924,2,1203.5
1206.0,-63.0,1922.0,43.840620433565945,2,1206.5
1209.0,-59.0,1352.0,36.76955262170047,2,1209.5
